checked,sitename,city,lat,lon,scientificname,commonname,genus,cultivar,author,citation_year,treatment,date,time,month,year,raw_date,dateloc,trait,mean,units,n,statname,stat,notes,entity,method
checked,Kentucky Seed Improvement Association,Lexington,38.13,-84.50,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,NA,Arundale,2012,Observational Kentucky Miscanthus x giganteus,"Week of Dec 16, 2010 (America/New_York)",[time unspecified for yields],12,2010,2010-12-16 18:00:00 -0600,5.5,Ayield,15,Mg/ha/yr,4,SE,2.900,NA,NA,NA
checked,Louisiana State University AgCenter Botanic Gardens,Baton Rouge,30.41,-91.10,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,NA,Arundale,2012,Observational Louisiana Miscanthus x giganteus,"Week of Nov 30, 2011 (America/Chicago)",[time unspecified for yields],11,2011,2011-11-30 18:00:00 -0600,5.5,Ayield,8.6,Mg/ha/yr,4,SE,2.200,NA,NA,NA
checked,Louisiana State University AgCenter Botanic Gardens,Baton Rouge,30.41,-91.10,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,NA,Arundale,2012,Observational Louisiana Miscanthus x giganteus,"Week of Nov 30, 2011 (America/Chicago)",[time unspecified for yields],11,2011,2011-11-30 18:00:00 -0600,5.5,Ayield,5.4,Mg/ha/yr,4,SE,0.940,NA,NA,NA
checked,Louisiana State University AgCenter Botanic Gardens,Baton Rouge,30.41,-91.10,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,NA,Arundale,2012,Observational Louisiana Miscanthus x giganteus,"Week of Dec 16, 2010 (America/Chicago)",[time unspecified for yields],12,2010,2010-12-16 18:00:00 -0600,5.5,Ayield,13,Mg/ha/yr,4,SE,2.500,NA,NA,NA
checked,Louisiana State University AgCenter Botanic Gardens,Baton Rouge,30.41,-91.10,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,NA,Arundale,2012,Observational Louisiana Miscanthus x giganteus,"Week of Dec 16, 2010 (America/Chicago)",[time unspecified for yields],12,2010,2010-12-16 18:00:00 -0600,5.5,Ayield,12,Mg/ha/yr,4,SE,2.000,NA,NA,NA
checked,Louisiana State University AgCenter Botanic Gardens,Baton Rouge,30.41,-91.10,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,NA,Arundale,2012,Observational Louisiana Miscanthus x giganteus,"Week of Dec 16, 2010 (America/Chicago)",[time unspecified for yields],12,2010,2010-12-16 18:00:00 -0600,5.5,Ayield,12,Mg/ha/yr,4,SE,2.000,NA,NA,NA
checked,Louisiana State University AgCenter Botanic Gardens,Baton Rouge,30.41,-91.10,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,NA,Arundale,2012,Observational Louisiana Miscanthus x giganteus,"Week of Nov 30, 2011 (America/Chicago)",[time unspecified for yields],11,2011,2011-11-30 18:00:00 -0600,5.5,Ayield,10,Mg/ha/yr,4,SE,3.200,NA,NA,NA
checked,Louisiana State University AgCenter Botanic Gardens,Baton Rouge,30.41,-91.10,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,NA,Arundale,2012,Observational Louisiana Miscanthus x giganteus,"Week of Nov 30, 2011 (America/Chicago)",[time unspecified for yields],11,2011,2011-11-30 18:00:00 -0600,5.5,Ayield,9.7,Mg/ha/yr,4,SE,2.600,NA,NA,NA
checked,Louisiana State University AgCenter Botanic Gardens,Baton Rouge,30.41,-91.10,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,NA,Arundale,2012,Observational Louisiana Miscanthus x giganteus,"Week of Dec 16, 2010 (America/Chicago)",[time unspecified for yields],12,2010,2010-12-16 18:00:00 -0600,5.5,Ayield,9.1,Mg/ha/yr,4,SE,2.000,NA,NA,NA
checked,"Great Lakes Bioenergy Research Center (GLBRC), W.K. Kellogg Biological Research Station",Hickory Corners,42.39,-85.37,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,NA,Arundale,2012,Observational Michigan Miscanthus x giganteus,"Week of Jul 1, 2005 (America/Detroit)",[time unspecified for yields],7,2005,2005-07-01 19:00:00 -0500,5.5,Ayield,18,Mg/ha/yr,4,SE,2.600,NA,NA,NA
checked,"Great Lakes Bioenergy Research Center (GLBRC), W.K. Kellogg Biological Research Station",Hickory Corners,42.39,-85.37,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,NA,Arundale,2012,Observational Michigan Miscanthus x giganteus,"Week of Jul 1, 2005 (America/Detroit)",[time unspecified for yields],7,2005,2005-07-01 19:00:00 -0500,5.5,Ayield,17,Mg/ha/yr,4,SE,1.700,NA,NA,NA
checked,"Great Lakes Bioenergy Research Center (GLBRC), W.K. Kellogg Biological Research Station",Hickory Corners,42.39,-85.37,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,NA,Arundale,2012,Observational Michigan Miscanthus x giganteus,"Week of Jul 1, 2005 (America/Detroit)",[time unspecified for yields],7,2005,2005-07-01 19:00:00 -0500,5.5,Ayield,14,Mg/ha/yr,4,SE,3.100,NA,NA,NA
checked,"Great Lakes Bioenergy Research Center (GLBRC), W.K. Kellogg Biological Research Station",Hickory Corners,42.39,-85.37,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,NA,Arundale,2012,Observational Michigan Miscanthus x giganteus,"Week of Jul 2, 2005 (America/Detroit)",[time unspecified for yields],7,2005,2005-07-02 19:00:00 -0500,5.5,Ayield,22,Mg/ha/yr,4,SE,8.000,NA,NA,NA
checked,"Great Lakes Bioenergy Research Center (GLBRC), W.K. Kellogg Biological Research Station",Hickory Corners,42.39,-85.37,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,NA,Arundale,2012,Observational Michigan Miscanthus x giganteus,"Week of Dec 2, 2009 (America/Detroit)",[time unspecified for yields],12,2009,2009-12-02 18:00:00 -0600,5.5,Ayield,2.5,Mg/ha/yr,4,SE,[missing],NA,NA,NA
checked,"Great Lakes Bioenergy Research Center (GLBRC), W.K. Kellogg Biological Research Station",Hickory Corners,42.39,-85.37,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,NA,Arundale,2012,Observational Michigan Miscanthus x giganteus,"Week of Dec 2, 2009 (America/Detroit)",[time unspecified for yields],12,2009,2009-12-02 18:00:00 -0600,5.5,Ayield,6.9,Mg/ha/yr,4,SE,[missing],NA,NA,NA
checked,"Great Lakes Bioenergy Research Center (GLBRC), W.K. Kellogg Biological Research Station",Hickory Corners,42.39,-85.37,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,NA,Arundale,2012,Observational Michigan Miscanthus x giganteus,"Week of Dec 2, 2009 (America/Detroit)",[time unspecified for yields],12,2009,2009-12-02 18:00:00 -0600,5.5,Ayield,8.7,Mg/ha/yr,4,SE,[missing],NA,NA,NA
checked,"Great Lakes Bioenergy Research Center (GLBRC), W.K. Kellogg Biological Research Station",Hickory Corners,42.39,-85.37,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,NA,Arundale,2012,Observational Michigan Miscanthus x giganteus,"Week of Dec 2, 2009 (America/Detroit)",[time unspecified for yields],12,2009,2009-12-02 18:00:00 -0600,5.5,Ayield,13,Mg/ha/yr,4,SE,[missing],NA,NA,NA
checked,"Great Lakes Bioenergy Research Center (GLBRC), W.K. Kellogg Biological Research Station",Hickory Corners,42.39,-85.37,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,NA,Arundale,2012,Observational Michigan Miscanthus x giganteus,"Week of Dec 16, 2010 (America/Detroit)",[time unspecified for yields],12,2010,2010-12-16 18:00:00 -0600,5.5,Ayield,4.7,Mg/ha/yr,4,SE,0.910,NA,NA,NA
checked,"Great Lakes Bioenergy Research Center (GLBRC), W.K. Kellogg Biological Research Station",Hickory Corners,42.39,-85.37,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,NA,Arundale,2012,Observational Michigan Miscanthus x giganteus,"Week of Dec 16, 2010 (America/Detroit)",[time unspecified for yields],12,2010,2010-12-16 18:00:00 -0600,5.5,Ayield,11,Mg/ha/yr,4,SE,0.490,NA,NA,NA
checked,"Great Lakes Bioenergy Research Center (GLBRC), W.K. Kellogg Biological Research Station",Hickory Corners,42.39,-85.37,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,NA,Arundale,2012,Observational Michigan Miscanthus x giganteus,"Week of Dec 16, 2010 (America/Detroit)",[time unspecified for yields],12,2010,2010-12-16 18:00:00 -0600,5.5,Ayield,11,Mg/ha/yr,4,SE,1.600,NA,NA,NA
checked,"Great Lakes Bioenergy Research Center (GLBRC), W.K. Kellogg Biological Research Station",Hickory Corners,42.39,-85.37,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,NA,Arundale,2012,Observational Michigan Miscanthus x giganteus,"Week of Nov 30, 2011 (America/Detroit)",[time unspecified for yields],11,2011,2011-11-30 18:00:00 -0600,5.5,Ayield,32,Mg/ha/yr,4,SE,10.000,NA,NA,NA
checked,"Great Lakes Bioenergy Research Center (GLBRC), W.K. Kellogg Biological Research Station",Hickory Corners,42.39,-85.37,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,NA,Arundale,2012,Observational Michigan Miscanthus x giganteus,"Week of Dec 16, 2010 (America/Detroit)",[time unspecified for yields],12,2010,2010-12-16 18:00:00 -0600,5.5,Ayield,15,Mg/ha/yr,4,SE,1.600,NA,NA,NA
checked,"Great Lakes Bioenergy Research Center (GLBRC), W.K. Kellogg Biological Research Station",Hickory Corners,42.39,-85.37,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,NA,Arundale,2012,Observational Michigan Miscanthus x giganteus,"Week of Jul 2, 2005 (America/Detroit)",[time unspecified for yields],7,2005,2005-07-02 19:00:00 -0500,5.5,Ayield,17,Mg/ha/yr,4,SE,7.200,NA,NA,NA
checked,"Great Lakes Bioenergy Research Center (GLBRC), W.K. Kellogg Biological Research Station",Hickory Corners,42.39,-85.37,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,NA,Arundale,2012,Observational Michigan Miscanthus x giganteus,"Week of Jul 2, 2005 (America/Detroit)",[time unspecified for yields],7,2005,2005-07-02 19:00:00 -0500,5.5,Ayield,18,Mg/ha/yr,4,SE,2.700,NA,NA,NA
checked,"Great Lakes Bioenergy Research Center (GLBRC), W.K. Kellogg Biological Research Station",Hickory Corners,42.39,-85.37,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,NA,Arundale,2012,Observational Michigan Miscanthus x giganteus,"Week of Jul 2, 2005 (America/Detroit)",[time unspecified for yields],7,2005,2005-07-02 19:00:00 -0500,5.5,Ayield,19,Mg/ha/yr,4,SE,1.700,NA,NA,NA
checked,"Great Lakes Bioenergy Research Center (GLBRC), W.K. Kellogg Biological Research Station",Hickory Corners,42.39,-85.37,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,NA,Arundale,2012,Observational Michigan Miscanthus x giganteus,"Week of Nov 30, 2011 (America/Detroit)",[time unspecified for yields],11,2011,2011-11-30 18:00:00 -0600,5.5,Ayield,29,Mg/ha/yr,4,SE,0.360,NA,NA,NA
checked,"Great Lakes Bioenergy Research Center (GLBRC), W.K. Kellogg Biological Research Station",Hickory Corners,42.39,-85.37,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,NA,Arundale,2012,Observational Michigan Miscanthus x giganteus,"Week of Nov 30, 2011 (America/Detroit)",[time unspecified for yields],11,2011,2011-11-30 18:00:00 -0600,5.5,Ayield,24,Mg/ha/yr,4,SE,3.200,NA,NA,NA
checked,"Great Lakes Bioenergy Research Center (GLBRC), W.K. Kellogg Biological Research Station",Hickory Corners,42.39,-85.37,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,NA,Arundale,2012,Observational Michigan Miscanthus x giganteus,"Week of Nov 30, 2011 (America/Detroit)",[time unspecified for yields],11,2011,2011-11-30 18:00:00 -0600,5.5,Ayield,15,Mg/ha/yr,4,SE,7.500,NA,NA,NA
checked,"Great Lakes Bioenergy Research Center (GLBRC), W.K. Kellogg Biological Research Station",Hickory Corners,42.39,-85.37,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,NA,Arundale,2012,Observational Michigan Miscanthus x giganteus,"Week of Jun 30, 2005 (America/Detroit)",[time unspecified for yields],6,2005,2005-06-30 19:00:00 -0500,5.5,Ayield,3.9,Mg/ha/yr,4,SE,[missing],NA,NA,NA
checked,"Great Lakes Bioenergy Research Center (GLBRC), W.K. Kellogg Biological Research Station",Hickory Corners,42.39,-85.37,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,NA,Arundale,2012,Observational Michigan Miscanthus x giganteus,"Week of Jul 1, 2005 (America/Detroit)",[time unspecified for yields],7,2005,2005-07-01 19:00:00 -0500,5.5,Ayield,6.4,Mg/ha/yr,4,SE,2.900,NA,NA,NA
checked,"Great Lakes Bioenergy Research Center (GLBRC), W.K. Kellogg Biological Research Station",Hickory Corners,42.39,-85.37,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,NA,Arundale,2012,Observational Michigan Miscanthus x giganteus,"Week of Jun 30, 2005 (America/Detroit)",[time unspecified for yields],6,2005,2005-06-30 19:00:00 -0500,5.5,Ayield,1.5,Mg/ha/yr,4,SE,[missing],NA,NA,NA
checked,"Great Lakes Bioenergy Research Center (GLBRC), W.K. Kellogg Biological Research Station",Hickory Corners,42.39,-85.37,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,NA,Arundale,2012,Observational Michigan Miscanthus x giganteus,"Week of Jun 30, 2005 (America/Detroit)",[time unspecified for yields],6,2005,2005-06-30 19:00:00 -0500,5.5,Ayield,2.3,Mg/ha/yr,4,SE,[missing],NA,NA,NA
checked,"Great Lakes Bioenergy Research Center (GLBRC), W.K. Kellogg Biological Research Station",Hickory Corners,42.39,-85.37,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,NA,Arundale,2012,Observational Michigan Miscanthus x giganteus,"Week of Jun 30, 2005 (America/Detroit)",[time unspecified for yields],6,2005,2005-06-30 19:00:00 -0500,5.5,Ayield,2.8,Mg/ha/yr,4,SE,[missing],NA,NA,NA
checked,Mississippi State University Crosby Arboretum,Starkville,33.42,-88.80,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,NA,Arundale,2012,Observational Mississippi Miscanthus x giganteus,"Week of Nov 30, 2011 (America/Chicago)",[time unspecified for yields],11,2011,2011-11-30 18:00:00 -0600,5.5,Ayield,29,Mg/ha/yr,4,SE,[missing],NA,NA,NA
checked,Mississippi State University Crosby Arboretum,Starkville,33.42,-88.80,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,NA,Arundale,2012,Observational Mississippi Miscanthus x giganteus,"Week of Nov 30, 2011 (America/Chicago)",[time unspecified for yields],11,2011,2011-11-30 18:00:00 -0600,5.5,Ayield,11,Mg/ha/yr,4,SE,[missing],NA,NA,NA
checked,Mississippi State University Crosby Arboretum,Starkville,33.42,-88.80,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,NA,Arundale,2012,Observational Mississippi Miscanthus x giganteus,"Week of Dec 16, 2010 (America/Chicago)",[time unspecified for yields],12,2010,2010-12-16 18:00:00 -0600,5.5,Ayield,0.97,Mg/ha/yr,4,SE,0.160,NA,NA,NA
checked,Mississippi State University Crosby Arboretum,Starkville,33.42,-88.80,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,NA,Arundale,2012,Observational Mississippi Miscanthus x giganteus,"Week of Dec 16, 2010 (America/Chicago)",[time unspecified for yields],12,2010,2010-12-16 18:00:00 -0600,5.5,Ayield,6.9,Mg/ha/yr,4,SE,4.000,NA,NA,NA
checked,Mississippi State University Crosby Arboretum,Starkville,33.42,-88.80,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,NA,Arundale,2012,Observational Mississippi Miscanthus x giganteus,"Week of Dec 16, 2010 (America/Chicago)",[time unspecified for yields],12,2010,2010-12-16 18:00:00 -0600,5.5,Ayield,9.4,Mg/ha/yr,4,SE,0.390,NA,NA,NA
checked,Mississippi State University Crosby Arboretum,Starkville,33.42,-88.80,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,NA,Arundale,2012,Observational Mississippi Miscanthus x giganteus,"Week of Nov 30, 2011 (America/Chicago)",[time unspecified for yields],11,2011,2011-11-30 18:00:00 -0600,5.5,Ayield,14,Mg/ha/yr,4,SE,3.600,NA,NA,NA
checked,Mississippi State University Crosby Arboretum,Starkville,33.42,-88.80,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,NA,Arundale,2012,Observational Mississippi Miscanthus x giganteus,"Week of Dec 16, 2010 (America/Chicago)",[time unspecified for yields],12,2010,2010-12-16 18:00:00 -0600,5.5,Ayield,0.8,Mg/ha/yr,4,SE,0.160,NA,NA,NA
checked,Mississippi State University Crosby Arboretum,Starkville,33.42,-88.80,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,Freedom,Arundale,2012,Observational Mississippi Miscanthus x giganteus,"Week of Jul 1, 2005 (America/Chicago)",[time unspecified for yields],7,2005,2005-07-01 19:00:00 -0500,5.5,Ayield,1,Mg/ha/yr,4,SE,0.290,NA,NA,NA
checked,Mississippi State University Crosby Arboretum,Starkville,33.42,-88.80,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,Freedom,Arundale,2012,Observational Mississippi Miscanthus x giganteus,"Week of Jul 1, 2005 (America/Chicago)",[time unspecified for yields],7,2005,2005-07-01 19:00:00 -0500,5.5,Ayield,0.98,Mg/ha/yr,4,SE,0.490,NA,NA,NA
checked,Mississippi State University Crosby Arboretum,Starkville,33.42,-88.80,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,Freedom,Arundale,2012,Observational Mississippi Miscanthus x giganteus,"Week of Jul 1, 2005 (America/Chicago)",[time unspecified for yields],7,2005,2005-07-01 19:00:00 -0500,5.5,Ayield,0.8,Mg/ha/yr,4,SE,0.240,NA,NA,NA
checked,Mississippi State University Crosby Arboretum,Starkville,33.42,-88.80,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,NA,Arundale,2012,Observational Mississippi Miscanthus x giganteus,"Week of Dec 16, 2010 (America/Chicago)",[time unspecified for yields],12,2010,2010-12-16 18:00:00 -0600,5.5,Ayield,19,Mg/ha/yr,4,SE,1.300,NA,NA,NA
checked,Mississippi State University Crosby Arboretum,Starkville,33.42,-88.80,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,NA,Arundale,2012,Observational Mississippi Miscanthus x giganteus,"Week of Dec 16, 2010 (America/Chicago)",[time unspecified for yields],12,2010,2010-12-16 18:00:00 -0600,5.5,Ayield,19,Mg/ha/yr,4,SE,5.800,NA,NA,NA
checked,Mississippi State University Crosby Arboretum,Starkville,33.42,-88.80,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,Freedom,Arundale,2012,Observational Mississippi Miscanthus x giganteus,"Week of Jul 1, 2005 (America/Chicago)",[time unspecified for yields],7,2005,2005-07-01 19:00:00 -0500,5.5,Ayield,0.76,Mg/ha/yr,4,SE,0.300,NA,NA,NA
checked,Mississippi State University Crosby Arboretum,Starkville,33.42,-88.80,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,NA,Arundale,2012,Observational Mississippi Miscanthus x giganteus,"Week of Dec 16, 2010 (America/Chicago)",[time unspecified for yields],12,2010,2010-12-16 18:00:00 -0600,5.5,Ayield,0.58,Mg/ha/yr,4,SE,0.018,NA,NA,NA
checked,Mississippi State University Crosby Arboretum,Starkville,33.42,-88.80,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,Freedom,Arundale,2012,Observational Mississippi Miscanthus x giganteus,"Week of Jul 2, 2005 (America/Chicago)",[time unspecified for yields],7,2005,2005-07-02 19:00:00 -0500,5.5,Ayield,18,Mg/ha/yr,4,SE,2.200,NA,NA,NA
checked,Mississippi State University Crosby Arboretum,Starkville,33.42,-88.80,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,NA,Arundale,2012,Observational Mississippi Miscanthus x giganteus,"Week of Dec 16, 2010 (America/Chicago)",[time unspecified for yields],12,2010,2010-12-16 18:00:00 -0600,5.5,Ayield,0.85,Mg/ha/yr,4,SE,[missing],NA,NA,NA
checked,Mississippi State University Crosby Arboretum,Starkville,33.42,-88.80,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,NA,Arundale,2012,Observational Mississippi Miscanthus x giganteus,"Week of Nov 30, 2011 (America/Chicago)",[time unspecified for yields],11,2011,2011-11-30 18:00:00 -0600,5.5,Ayield,29,Mg/ha/yr,4,SE,[missing],NA,NA,NA
checked,Mississippi State University Crosby Arboretum,Starkville,33.42,-88.80,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,Freedom,Arundale,2012,Observational Mississippi Miscanthus x giganteus,"Week of Jul 2, 2005 (America/Chicago)",[time unspecified for yields],7,2005,2005-07-02 19:00:00 -0500,5.5,Ayield,18,Mg/ha/yr,4,SE,0.620,NA,NA,NA
checked,Mississippi State University Crosby Arboretum,Starkville,33.42,-88.80,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,Freedom,Arundale,2012,Observational Mississippi Miscanthus x giganteus,"Week of Jul 1, 2005 (America/Chicago)",[time unspecified for yields],7,2005,2005-07-01 19:00:00 -0500,5.5,Ayield,16,Mg/ha/yr,4,SE,6.700,NA,NA,NA
checked,Mississippi State University Crosby Arboretum,Starkville,33.42,-88.80,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,Freedom,Arundale,2012,Observational Mississippi Miscanthus x giganteus,"Week of Jul 2, 2005 (America/Chicago)",[time unspecified for yields],7,2005,2005-07-02 19:00:00 -0500,5.5,Ayield,15,Mg/ha/yr,4,SE,5.800,NA,NA,NA
checked,Mississippi State University Crosby Arboretum,Starkville,33.42,-88.80,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,Freedom,Arundale,2012,Observational Mississippi Miscanthus x giganteus,"Week of Jul 2, 2005 (America/Chicago)",[time unspecified for yields],7,2005,2005-07-02 19:00:00 -0500,5.5,Ayield,14,Mg/ha/yr,4,SE,0.760,NA,NA,NA
checked,Mississippi State University Crosby Arboretum,Starkville,33.42,-88.80,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,Freedom,Arundale,2012,Observational Mississippi Miscanthus x giganteus,"Week of Jul 1, 2005 (America/Chicago)",[time unspecified for yields],7,2005,2005-07-01 19:00:00 -0500,5.5,Ayield,14,Mg/ha/yr,4,SE,2.900,NA,NA,NA
checked,Mississippi State University Crosby Arboretum,Starkville,33.42,-88.80,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,Freedom,Arundale,2012,Observational Mississippi Miscanthus x giganteus,"Week of Jul 1, 2005 (America/Chicago)",[time unspecified for yields],7,2005,2005-07-01 19:00:00 -0500,5.5,Ayield,14,Mg/ha/yr,4,SE,2.500,NA,NA,NA
checked,Mississippi State University Crosby Arboretum,Starkville,33.42,-88.80,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,Freedom,Arundale,2012,Observational Mississippi Miscanthus x giganteus,"Week of Jul 1, 2005 (America/Chicago)",[time unspecified for yields],7,2005,2005-07-01 19:00:00 -0500,5.5,Ayield,11,Mg/ha/yr,4,SE,0.300,NA,NA,NA
checked,Rutgers Vegetable Research Farm 3,Milltown,40.46,-74.43,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,NA,Arundale,2012,Observational New Jersey Miscanthus x giganteus,"Week of Dec 16, 2010 (America/New_York)",[time unspecified for yields],12,2010,2010-12-16 18:00:00 -0600,5.5,Ayield,0.32,Mg/ha/yr,4,SE,[missing],NA,NA,NA
checked,Rutgers Vegetable Research Farm 3,Milltown,40.46,-74.43,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,NA,Arundale,2012,Observational New Jersey Miscanthus x giganteus,"Week of Nov 30, 2011 (America/New_York)",[time unspecified for yields],11,2011,2011-11-30 18:00:00 -0600,5.5,Ayield,13,Mg/ha/yr,4,SE,1.200,NA,NA,NA
checked,Rutgers Vegetable Research Farm 3,Milltown,40.46,-74.43,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,NA,Arundale,2012,Observational New Jersey Miscanthus x giganteus,"Week of Nov 30, 2011 (America/New_York)",[time unspecified for yields],11,2011,2011-11-30 18:00:00 -0600,5.5,Ayield,6.4,Mg/ha/yr,4,SE,1.900,NA,NA,NA
checked,Rutgers Vegetable Research Farm 3,Milltown,40.46,-74.43,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,NA,Arundale,2012,Observational New Jersey Miscanthus x giganteus,"Week of Nov 30, 2011 (America/New_York)",[time unspecified for yields],11,2011,2011-11-30 18:00:00 -0600,5.5,Ayield,2.5,Mg/ha/yr,4,SE,1.800,NA,NA,NA
checked,Rutgers Vegetable Research Farm 3,Milltown,40.46,-74.43,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,NA,Arundale,2012,Observational New Jersey Miscanthus x giganteus,"Week of Dec 16, 2010 (America/New_York)",[time unspecified for yields],12,2010,2010-12-16 18:00:00 -0600,5.5,Ayield,1.7,Mg/ha/yr,4,SE,0.280,NA,NA,NA
checked,Rutgers Vegetable Research Farm 3,Milltown,40.46,-74.43,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,NA,Arundale,2012,Observational New Jersey Miscanthus x giganteus,"Week of Dec 16, 2010 (America/New_York)",[time unspecified for yields],12,2010,2010-12-16 18:00:00 -0600,5.5,Ayield,0.42,Mg/ha/yr,4,SE,0.097,NA,NA,NA
checked,Cimarron valley research station,Perkins,35.99,-97.05,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,NA,Arundale,2012,Observational Oklahoma Miscanthus x giganteus,"Week of Nov 30, 2011 (America/Chicago)",[time unspecified for yields],11,2011,2011-11-30 18:00:00 -0600,5.5,Ayield,6.3,Mg/ha/yr,4,SE,1.100,NA,NA,NA
checked,Cimarron valley research station,Perkins,35.99,-97.05,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,NA,Arundale,2012,Observational Oklahoma Miscanthus x giganteus,"Week of Dec 16, 2010 (America/Chicago)",[time unspecified for yields],12,2010,2010-12-16 18:00:00 -0600,5.5,Ayield,0.68,Mg/ha/yr,4,SE,0.030,NA,NA,NA
checked,Cimarron valley research station,Perkins,35.99,-97.05,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,NA,Arundale,2012,Observational Oklahoma Miscanthus x giganteus,"Week of Dec 16, 2010 (America/Chicago)",[time unspecified for yields],12,2010,2010-12-16 18:00:00 -0600,5.5,Ayield,0.97,Mg/ha/yr,4,SE,0.110,NA,NA,NA
checked,Cimarron valley research station,Perkins,35.99,-97.05,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,NA,Arundale,2012,Observational Oklahoma Miscanthus x giganteus,"Week of Dec 16, 2010 (America/Chicago)",[time unspecified for yields],12,2010,2010-12-16 18:00:00 -0600,5.5,Ayield,1.1,Mg/ha/yr,4,SE,0.150,NA,NA,NA
checked,Cimarron valley research station,Perkins,35.99,-97.05,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,NA,Arundale,2012,Observational Oklahoma Miscanthus x giganteus,"Week of Dec 16, 2010 (America/Chicago)",[time unspecified for yields],12,2010,2010-12-16 18:00:00 -0600,5.5,Ayield,1.1,Mg/ha/yr,4,SE,0.130,NA,NA,NA
checked,Cimarron valley research station,Perkins,35.99,-97.05,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,NA,Arundale,2012,Observational Oklahoma Miscanthus x giganteus,"Week of Nov 30, 2011 (America/Chicago)",[time unspecified for yields],11,2011,2011-11-30 18:00:00 -0600,5.5,Ayield,5.6,Mg/ha/yr,4,SE,1.100,NA,NA,NA
checked,Cimarron valley research station,Perkins,35.99,-97.05,Miscanthus × giganteus,Giant Miscanthus,Miscanthus,NA,Arundale,2012,Observational Oklahoma Miscanthus x giganteus,"Week of Nov 30, 2011 (America/Chicago)",[time unspecified for yields],11,2011,2011-11-30 18:00:00 -0600,5.5,Ayield,6.2,Mg/ha/yr,4,SE,2.500,NA,NA,NA
